,age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,is_recid,r_days_from_arrest,violent_recid,is_violent_recid,decile_score.1,v_decile_score,priors_count.1,start,end,event,two_year_recid,sex,age_cat,race,c_jail_in,c_jail_out,c_case_number,c_offense_date,c_arrest_date,c_charge_degree,c_charge_desc,r_case_number,r_charge_degree,r_offense_date,r_charge_desc,r_jail_in,r_jail_out,vr_case_number,vr_charge_degree,vr_offense_date,vr_charge_desc,type_of_assessment,score_text,screening_date,v_type_of_assessment,v_score_text,v_screening_date,in_custody,out_custody
count,7214.0,7214.0,7214.0,7214.0,7214.0,7214.0,6907.0,7192.0,7214.0,2316.0,0.0,7214.0,7214.0,7214.0,7214.0,7214.0,7214.0,7214.0,7214.0,7214,7214,7214,6907,6907,7192,6055,1137,7214,7185,3471,3471,3471,3413,2316,2316,819,819,819,819,7214,7214,7214,7214,7214,7214,6978,6978
mean,34.817992791793735,0.06723038536179651,4.509564735237039,0.09093429442750207,0.10937066814527308,3.472414749098974,3.3047632836253076,57.731368186874306,0.4811477682284447,20.269430051813472,,0.11352924868311616,4.509564735237039,3.6918491821458277,3.472414749098974,11.465067923482119,553.4366509564735,0.3828666481840865,0.45065151095092876,,,,,,,,,,,,,,,,,,,,,,,,,,,,
std,11.888921784002939,0.47397152194873615,2.856395676612564,0.4852385108683341,0.5015858039328572,4.882538348055975,75.80950476450455,329.7402151881901,0.49967910075014704,74.87166810579951,,0.3172606357742124,2.856395676612564,2.5101480083795895,4.882538348055975,46.954563134847184,399.0205825276085,0.48611987758444836,0.4975932562325078,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,18.0,0.0,1.0,0.0,0.0,0.0,-414.0,0.0,0.0,-1.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25%,25.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,,0.0,2.0,1.0,0.0,0.0,148.25,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50%,31.0,0.0,4.0,0.0,0.0,2.0,-1.0,1.0,0.0,0.0,,0.0,4.0,3.0,2.0,0.0,530.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75%,42.0,0.0,7.0,0.0,0.0,5.0,0.0,2.0,1.0,1.0,,0.0,7.0,5.0,5.0,1.0,914.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max,96.0,20.0,10.0,13.0,17.0,38.0,1057.0,9485.0,1.0,993.0,,1.0,10.0,10.0,38.0,937.0,1186.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unique,,,,,,,,,,,,,,,,,,,,2,3,6,6907,6880,7192,927,580,2,437,3471,10,1075,340,972,938,819,9,570,83,1,3,690,1,3,690,1156,1169
top,,,,,,,,,,,,,,,,,,,,Male,25 - 45,African-American,2013-08-13 06:03:42,2013-09-12 10:31:00,13011352CF10A,2013-01-14,2013-02-06,F,Battery,13009779CF10A,(M1),2014-12-08,Driving License Suspended,2014-05-27,2015-05-15,13009779CF10A,(M1),2015-08-15,Battery,Risk of Recidivism,Low,2013-02-20,Risk of Violence,Low,2013-02-20,2014-01-04,2020-01-01
freq,,,,,,,,,,,,,,,,,,,,5819,4109,3696,1,3,1,26,9,4666,1156,1,1201,12,258,9,9,1,344,6,329,7214,3897,32,7214,4761,32,20,61
